Source1,Source2,Year,Mean,Co2_data_mean_global,CO2 % chg 
"GISTEMP data for 2017 is N/A it was replaced with 2016's mean temperature, ",CO2 data projected based on average increase over the decade.  In this case it was .58%.,2017,0.99,404.464664,0.58%
GISTEMP,CO2 data projected based on average increase over the decade.  In this case it was .58%.,2016,0.99,402.1454958,0.58%
GISTEMP,CO2 data projected based on average increase over the decade.  In this case it was .58%.,2015,0.87,399.8396255,0.58%
GISTEMP,IAC Switzerland,2014,0.74,397.5469769,0.46%
GISTEMP,IAC Switzerland,2013,0.65,395.7249793,0.69%
GISTEMP,IAC Switzerland,2012,0.63,393.0159927,0.53%
GISTEMP,IAC Switzerland,2011,0.6,390.9440147,0.57%
GISTEMP,IAC Switzerland,2010,0.71,388.7170293,0.63%
GISTEMP,IAC Switzerland,2009,0.64,386.280019,0.40%
GISTEMP,IAC Switzerland,2008,0.54,384.7390186,0.56%
GISTEMP,IAC Switzerland,2007,0.66,382.6030247,0.42%
GISTEMP,IAC Switzerland,2006,0.63,381.010007,0.56%
GISTEMP,IAC Switzerland,2005,0.69,378.907005,0.51%
GISTEMP,IAC Switzerland,2004,0.55,376.9870025,0.42%
GISTEMP,IAC Switzerland,2003,0.62,375.410995,0.69%
GISTEMP,IAC Switzerland,2002,0.63,372.8349943,0.58%
GISTEMP,IAC Switzerland,2001,0.55,370.6729901,0.42%
GISTEMP,IAC Switzerland,2000,0.42,369.12498,0.35%
GISTEMP,IAC Switzerland,1999,0.42,367.8449748,0.52%
GISTEMP,IAC Switzerland,1998,0.64,365.932958,0.74%
GISTEMP,IAC Switzerland,1997,0.48,363.2519618,0.34%
GISTEMP,IAC Switzerland,1996,0.35,362.0049615,0.49%
GISTEMP,IAC Switzerland,1995,0.46,360.2389564,0.55%
GISTEMP,IAC Switzerland,1994,0.32,358.2539622,0.37%
GISTEMP,IAC Switzerland,1993,0.24,356.9249589,0.20%
GISTEMP,IAC Switzerland,1992,0.23,356.2289489,0.25%
