Stname,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
United States,"282,162,411","284,968,955","287,625,193","290,107,933","292,805,298","295,516,599","298,379,912","301,231,207","304,093,966","306,771,529",309326085,311580009,313874218,316057727,318386421,320742673,323071342,325147121,327167434
Alabama,"4,452,173","4,467,634","4,480,089","4,503,491","4,530,729","4,569,805","4,628,981","4,672,840","4,718,206","4,757,938",4785448,4798834,4815564,4830460,4842481,4853160,4864745,4875120,4887871
Alaska,"627,963","633,714","642,337","648,414","659,286","666,946","675,302","680,300","687,455","698,895",713906,722038,730399,737045,736307,737547,741504,739786,737438
Arizona,"5,160,586","5,273,477","5,396,255","5,510,364","5,652,404","5,839,077","6,029,141","6,167,681","6,280,362","6,343,154",6407774,6473497,6556629,6634999,6733840,6833596,6945452,7048876,7171646
Arkansas,"2,678,588","2,691,571","2,705,927","2,724,816","2,749,686","2,781,097","2,821,761","2,848,650","2,874,554","2,896,843",2921978,2940407,2952109,2959549,2967726,2978407,2990410,3002997,3013825
California,"33,987,977","34,479,458","34,871,843","35,253,159","35,574,576","35,827,943","36,021,202","36,250,311","36,604,337","36,961,229",37320903,37641823,37960782,38280824,38625139,38953142,39209127,39399349,39557045
Colorado,"4,326,921","4,425,687","4,490,406","4,528,732","4,575,013","4,631,888","4,720,423","4,803,868","4,889,730","4,972,195",5048281,5121771,5193721,5270482,5351218,5452107,5540921,5615902,5695564
Connecticut,"3,411,777","3,432,835","3,458,749","3,484,336","3,496,094","3,506,956","3,517,460","3,527,270","3,545,579","3,561,807",3579125,3588023,3594395,3594915,3594783,3587509,3578674,3573880,3572665
Delaware,"786,373","795,699","806,169","818,003","830,803","845,150","859,268","871,749","883,874","891,730",899595,907316,915188,923638,932596,941413,949216,957078,967171
District of Columbia,"572,046","574,504","573,158","568,502","567,754","567,136","570,681","574,404","580,236","592,228",605085,619602,634725,650431,662513,675254,686575,695691,702455
Florida,"16,047,515","16,356,966","16,689,370","17,004,085","17,415,318","17,842,038","18,166,990","18,367,842","18,527,305","18,652,644",18845785,19093352,19326230,19563166,19860330,20224249,20629982,20976812,21299325
Georgia,"8,227,303","8,377,038","8,508,256","8,622,793","8,769,252","8,925,922","9,155,813","9,349,988","9,504,843","9,620,846",9711810,9801578,9901496,9973326,10069001,10181111,10304763,10413055,10519475
Hawaii,"1,213,519","1,225,948","1,239,613","1,251,154","1,273,569","1,292,729","1,309,731","1,315,675","1,332,213","1,346,717",1363963,1379252,1394905,1408453,1414862,1422484,1428105,1424203,1420491
Idaho,"1,299,430","1,319,962","1,340,372","1,363,380","1,391,802","1,428,241","1,468,669","1,505,105","1,534,320","1,554,439",1570773,1583828,1595441,1611530,1631479,1651523,1682930,1718904,1754208
Illinois,"12,434,161","12,488,445","12,525,556","12,556,006","12,589,773","12,609,903","12,643,955","12,695,866","12,747,038","12,796,778",12840762,12867291,12884119,12898269,12888962,12864342,12826895,12786196,12741080
Indiana,"6,091,866","6,127,760","6,155,967","6,196,638","6,233,007","6,278,616","6,332,669","6,379,599","6,424,806","6,459,325",6490436,6516045,6537640,6568367,6593533,6608296,6633344,6660082,6691878
Iowa,"2,929,067","2,931,997","2,934,234","2,941,999","2,953,635","2,964,454","2,982,644","2,999,212","3,016,734","3,032,870",3050767,3066054,3076097,3093078,3109504,3121460,3131785,3143637,3156145
