"","Yellow fever - number of reported cases","Yellow fever - number of reported cases","Yellow fever - number of reported cases","Yellow fever - number of reported cases","Yellow fever - number of reported cases","Yellow fever - number of reported cases","Yellow fever - number of reported cases","Yellow fever - number of reported cases","Yellow fever - number of reported cases","Yellow fever - number of reported cases","Yellow fever - number of reported cases","Yellow fever - number of reported cases","Yellow fever - number of reported cases","Yellow fever - number of reported cases","Yellow fever - number of reported cases","Yellow fever - number of reported cases","Yellow fever - number of reported cases","Yellow fever - number of reported cases","Yellow fever - number of reported cases","Yellow fever - number of reported cases","Yellow fever - number of reported cases","Yellow fever - number of reported cases","Yellow fever - number of reported cases","Yellow fever - number of reported cases","Yellow fever - number of reported cases","Yellow fever - number of reported cases","Yellow fever - number of reported cases","Yellow fever - number of reported cases","Yellow fever - number of reported cases","Yellow fever - number of reported cases","Yellow fever - number of reported cases","Yellow fever - number of reported cases","Yellow fever - number of reported cases","Yellow fever - number of reported cases","Yellow fever - number of reported cases","Yellow fever - number of reported cases","Yellow fever - number of reported cases","Yellow fever - number of reported cases","Yellow fever - number of reported cases","Yellow fever - number of reported cases","Yellow fever - number of reported cases","Yellow fever - number of reported cases","Yellow fever - number of reported cases"
"Country"," 2016"," 2015"," 2014"," 2013"," 2012"," 2011"," 2010"," 2009"," 2008"," 2007"," 2006"," 2005"," 2004"," 2003"," 2002"," 2001"," 2000"," 1999"," 1998"," 1997"," 1996"," 1995"," 1994"," 1993"," 1992"," 1991"," 1990"," 1989"," 1988"," 1987"," 1986"," 1985"," 1984"," 1983"," 1982"," 1981"," 1980"," 1979"," 1978"," 1977"," 1976"," 1975"," 1974"
"Afghanistan","","0","","0","","","0","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","",""
"Albania","0","","","0","0","0","0","","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Algeria","0","0","","","0","0","0","0","0","","","","","","","","0","","","0","","","0","0","0","0","","","","","","","","","","","","","","","","",""
"Andorra","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Angola","881","3","0","0","0","0","0","","","0","0","0","0","0","0","0","0","","","0","","","","","","0","0","0","37","","","","","","","","","","","","","",""
"Antigua and Barbuda","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","","0","","","","","","","","","","","","","","","","","","","","","","","",""
"Argentina","0","0","0","0","0","0","0","0","8","0","0","0","0","","","0","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Armenia","0","","0","0","","0","0","","","","","0","0","0","0","0","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Australia","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","","","0","","","","","","","","","","","","","","","","","","","","","","","",""
"Austria","0","0","0","","0","0","0","0","0","0","","0","0","0","","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
