Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
"Population, total",SP.POP.TOTL,Afghanistan,AFG,12249114,20093756,28004331,28803167,29708599,30696958,31731688,32758020,33736494,34656032,35530081,..
"Population, total",SP.POP.TOTL,Albania,ALB,3286542,3089027,2927519,2913021,2905195,2900401,2895092,2889104,2880703,2876101,2873457,..
"Population, total",SP.POP.TOTL,Algeria,DZA,25912367,31183660,35465760,36117637,36819558,37565847,38338562,39113313,39871528,40606052,41318142,..
"Population, total",SP.POP.TOTL,American Samoa,ASM,47038,57521,56227,55637,55320,55230,55307,55437,55537,55599,55641,..
"Population, total",SP.POP.TOTL,Andorra,AND,54509,65390,84462,84449,83751,82431,80788,79223,78014,77281,76965,..
"Population, total",SP.POP.TOTL,Angola,AGO,12171441,16440924,22549547,23369131,24218565,25096150,25998340,26920466,27859305,28813463,29784193,..
"Population, total",SP.POP.TOTL,Antigua and Barbuda,ATG,66696,83584,93581,94661,95719,96777,97824,98875,99923,100963,102012,..
"Population, total",SP.POP.TOTL,Argentina,ARG,32729739,37057452,40799407,41223889,41656879,42096739,42539925,42981515,43417765,43847430,44271041,..
"Population, total",SP.POP.TOTL,Armenia,ARM,3538165,3069588,2888584,2877311,2875581,2881922,2893509,2906220,2916950,2924816,2930450,..
"Population, total",SP.POP.TOTL,Aruba,ABW,62149,90853,101453,101669,102053,102577,103187,103795,104341,104822,105264,..
"Population, total",SP.POP.TOTL,Australia,AUS,17065100,19153000,21691700,22031750,22340024,22742475,23145901,23504138,23850784,24210809,24598933,..
"Population, total",SP.POP.TOTL,Austria,AUT,7677850,8011566,8343323,8363404,8391643,8429991,8479823,8546356,8642699,8736668,8809212,..
"Population, total",SP.POP.TOTL,Azerbaijan,AZE,7159000,8048600,8947243,9054332,9173082,9295784,9416801,9535079,9649341,9757812,9862429,..
"Population, total",SP.POP.TOTL,"Bahamas, The",BHS,256336,297890,354856,360832,366568,372039,377240,382169,386838,391232,395361,..
"Population, total",SP.POP.TOTL,Bahrain,BHR,495931,664614,1185029,1240862,1278269,1300217,1315411,1336397,1371855,1425171,1492584,..
"Population, total",SP.POP.TOTL,Bangladesh,BGD,106188642,131581243,150454708,152149102,153911916,155727053,157571292,159405279,161200886,162951560,164669751,..
"Population, total",SP.POP.TOTL,Barbados,BRB,260374,269847,278470,279569,280601,281585,282509,283385,284217,284996,285719,..
"Population, total",SP.POP.TOTL,Belarus,BLR,10189000,9979610,9506765,9490583,9473172,9464495,9465997,9474511,9489616,9501534,9507875,..
"Population, total",SP.POP.TOTL,Belgium,BEL,9967379,10251250,10796493,10895586,11047744,11128246,11182817,11209057,11274196,11331422,11372068,..
"Population, total",SP.POP.TOTL,Belize,BLZ,187552,247315,313929,321608,329192,336701,344181,351694,359288,366954,374681,..
"Population, total",SP.POP.TOTL,Benin,BEN,4978496,6865951,8944706,9199259,9460802,9729160,10004451,10286712,10575952,10872298,11175692,..
"Population, total",SP.POP.TOTL,Bermuda,BMU,59326,61833,65636,65124,64564,64798,65001,65139,65239,65341,65441,..
"Population, total",SP.POP.TOTL,Bhutan,BTN,537280,573416,714458,727641,740510,752967,764961,776448,787386,797765,807610,..
"Population, total",SP.POP.TOTL,Bolivia,BOL,6856244,8339512,9758748,9918242,10078343,10239004,10400264,10562159,10724705,10887882,11051600,..
"Population, total",SP.POP.TOTL,Bosnia and Herzegovina,BIH,4463422,3766706,3746561,3722084,3688865,3648200,3604999,3566002,3535961,3516816,3507017,..
"Population, total",SP.POP.TOTL,Botswana,BWA,1377912,1728340,1979882,2014866,2051339,2089315,2128507,2168573,2209197,2250260,2291661,..
"Population, total",SP.POP.TOTL,Brazil,BRA,149352145,175287587,194895996,196796269,198686688,200560983,202408632,204213133,205962108,207652865,209288278,..
"Population, total",SP.POP.TOTL,British Virgin Islands,VGB,16461,20645,26447,27224,27901,28509,29056,29588,30113,30661,31196,..
"Population, total",SP.POP.TOTL,Brunei Darussalam,BRN,258785,333241,383772,388662,394013,399748,405716,411704,417542,423196,428697,..
"Population, total",SP.POP.TOTL,Bulgaria,BGR,8718289,8170172,7444443,7395599,7348328,7305888,7265115,7223938,7177991,7127822,7075991,..
"Population, total",SP.POP.TOTL,Burkina Faso,BFA,8811034,11607942,15141099,15605217,16081904,16571216,17072723,17585977,18110624,18646433,19193382,..
"Population, total",SP.POP.TOTL,Burundi,BDI,5415415,6400706,8489031,8766930,9043508,9319710,9600186,9891790,10199270,10524117,10864245,..
"Population, total",SP.POP.TOTL,Cabo Verde,CPV,341883,435079,496963,502384,508067,513979,520106,526437,532913,539560,546388,..
"Population, total",SP.POP.TOTL,Cambodia,KHM,8973342,12152354,14090208,14308740,14537886,14776866,15022692,15270790,15517635,15762370,16005373,..
"Population, total",SP.POP.TOTL,Cameroon,CMR,11715218,15274234,19432541,19970495,20520447,21082383,21655715,22239904,22834522,23439189,24053727,..
"Population, total",SP.POP.TOTL,Canada,CAN,27791000,30769700,33628571,34005274,34342780,34750545,35152370,35535348,35832513,36264604,36708083,..
"Population, total",SP.POP.TOTL,Cayman Islands,CYM,25010,41687,54279,55507,56579,57523,58371,59172,59963,60765,61559,..
"Population, total",SP.POP.TOTL,Central African Republic,CAF,2939780,3754986,4404230,4448525,4476153,4490416,4499653,4515392,4546100,4594621,4659080,..
"Population, total",SP.POP.TOTL,Chad,TCD,5956859,8342559,11502786,11887202,12288651,12705135,13133589,13569438,14009413,14452543,14899994,..
"Population, total",SP.POP.TOTL,Channel Islands,CHI,140671,148725,158603,159581,160497,161358,162180,162969,163758,164541,165314,..
"Population, total",SP.POP.TOTL,Chile,CHL,13242132,15262754,16829442,16993354,17153357,17309746,17462982,17613798,17762681,17909754,18054726,..
"Population, total",SP.POP.TOTL,China,CHN,1135185000,1262645000,1331260000,1337705000,1344130000,1350695000,1357380000,1364270000,1371220000,1378665000,1386395000,..
"Population, total",SP.POP.TOTL,Colombia,COL,34271565,40403958,45416181,45918097,46406646,46881475,47342981,47791911,48228697,48653419,49065615,..
"Population, total",SP.POP.TOTL,Comoros,COM,411594,542357,673252,689692,706569,723868,741500,759385,777424,795601,813912,..
