,Year,ARG,BLZ,BOL,BRA,COL,CRI,DOM,ECU,SLV,GTM,GUY,HTI,HND,MEX,NIC,PAN,PRY,PER,SUR,VEN
0,2000,11.873455303942647,6008.53162970301,3773.4821893655167,3498.4850353379557,3574.6992905992033,478.672088729858,143.9979482920068,8277.087967656897,128.33128764512256,4575.759674726325,31883.66934333022,1976.4422402096102,5383.733354301155,72.6506464486963,4750.143033455108,341.8750393931784,1292.360495596583,2636.361913941408,24050.043396346242,1214.292189670676
1,2001,5.737692602665135,4557.148683838986,1855.4971973341574,2184.537476005013,5641.355323704762,341.02298890261653,119.34977140724419,8473.125022611885,61.29399410290821,3004.122618249173,36053.88009246766,1131.656506070071,3608.0651289447383,48.473291197145535,2054.9919129539776,300.3543404438771,501.23700113046516,2990.85770986068,33497.29978649475,801.8926687145139
2,2002,3.29907834308145,4324.843825084094,1649.7666509309406,1933.1502983821558,4929.1248869354495,251.27953211308122,146.73439545938564,6636.8269423487955,19.69596500380536,2911.003560696308,29120.183432550766,1113.446212805752,2509.486523476004,44.31002883908261,1487.8955491523732,712.5472133974117,504.30135654886504,3730.508546765485,26575.21882064574,1160.665441364572
3,2003,3.2368052742384577,4027.7932597629397,2308.9705144590157,2240.690403092524,4292.924458350892,174.01964289133394,170.49965654745444,3917.7248436578348,14.234196065165825,2490.064779922816,36745.019332133634,1095.855067736476,2007.8702599909777,36.15092411616221,1281.6552337880726,1402.2299819205814,248.21904617551868,3281.938520598871,22488.798604228272,1226.1620039149511
4,2004,2.9951950873843005,3861.0737841782907,1662.626072719986,2517.0936524759777,3329.2869891915725,307.8548606437296,258.7059779646222,2126.628475192579,18.66425586695052,2262.652942015367,38403.410088711265,1184.5365887144653,2400.420979398966,31.833089782781034,1298.9427092249794,1558.322712576475,121.67455038273134,3431.2446133005174,16972.226161294897,1772.1199252864667
5,2005,6.43752352761575,5468.146019620372,2349.7029009877806,3242.432895251501,2809.9161028806925,833.5999393574289,415.36915676705314,1241.3331466601257,11.113025942612666,3021.603191440947,51913.18683367379,2350.971629867379,2170.902822702596,27.352623383010073,1234.7267167943653,1101.0474513318711,64.36034615858459,3176.3019817525346,18300.57761761794,1681.926867151075
6,2006,5.359098801811679,2902.8674414525344,2124.7754308958397,2907.0524744163363,2739.683402499906,673.7384056884595,376.14692800537125,706.140262953661,8.09051068954597,2320.8913512629088,28100.282683721074,3479.3718702365077,1581.00492136347,22.835368312236838,571.3540264771401,490.2849578629118,139.89946277246398,2322.9026863166523,6521.8210336164275,1360.61424489911
7,2007,8.881611471579443,2831.703009647897,1547.4327867643974,2400.984528665497,2894.94623181943,279.8967105613977,285.2377221258512,576.8207462303384,6.575189344905667,1122.7502841911476,15585.617267195192,3120.7854355114932,1363.912582972538,21.111204759855084,245.558488011639,370.89507317577386,224.76772744407248,1795.408600458549,5487.487860625264,1507.621434593031
8,2008,2.6249066146136126,1763.7548380775074,1015.4320039208926,1636.167420036091,1794.1253868686565,218.08291123980362,381.88059589976467,338.53462611892576,5.40071593854378,513.9091752992889,15831.13810004904,3789.1695120127924,1062.9192834237178,20.736956597268307,136.20505545976712,211.58796769757026,57.54808448389538,2910.20383367351,8158.820377833166,1138.4173259462887
9,2009,3.333381781749916,1630.9420282930216,1996.7725368049264,1587.082373924193,3494.217182197684,116.74895165457104,336.41292095893454,280.8469652906232,6.517549479606261,989.0887307588713,18335.96399590716,5027.469153657767,2319.0978592339707,46.80307630750705,107.64868621837401,434.71154960977935,29.700528914199253,2746.9951820089905,9371.536574731233,2506.5655850322187
