datenum,year,month,day,datetime,data_mean_global,data_mean_nh,data_mean_sh
15,0,1,15,15-Jan-0000 00:00:00,278.3664388,279.0456588,277.6872189
46,0,2,15,15-Feb-0000 00:00:00,278.713058,279.6653982,277.7607178
75,0,3,15,15-Mar-0000 00:00:00,279.0138353,280.2667789,277.7608916
106,0,4,15,15-Apr-0000 00:00:00,279.2096133,280.756607,277.6626197
136,0,5,15,15-May-0000 00:00:00,279.1064442,280.613494,277.5993944
167,0,6,15,15-Jun-0000 00:00:00,278.3255995,279.0510021,277.600197
197,0,7,15,15-Jul-0000 00:00:00,276.6370225,275.7209301,277.5531149
228,0,8,15,15-Aug-0000 00:00:00,274.9857928,272.6117406,277.359845
259,0,9,15,15-Sep-0000 00:00:00,274.8985106,272.6620734,277.1349479
289,0,10,15,15-Oct-0000 00:00:00,275.8898302,274.72571,277.0539504
320,0,11,15,15-Nov-0000 00:00:00,276.8517026,276.5622729,277.1411324
350,0,12,15,15-Dec-0000 00:00:00,277.450152,277.7663339,277.1339701
381,1,1,15,15-Jan-0001 00:00:00,277.876676,278.5558959,277.197456
412,1,2,15,15-Feb-0001 00:00:00,278.2316023,279.1839425,277.2792621
440,1,3,15,15-Mar-0001 00:00:00,278.551179,279.8041226,277.2982353
471,1,4,15,15-Apr-0001 00:00:00,278.7746675,280.3216612,277.2276739
501,1,5,15,15-May-0001 00:00:00,278.7065366,280.2135864,277.1994868
532,1,6,15,15-Jun-0001 00:00:00,277.9664744,278.691877,277.2410718
562,1,7,15,15-Jul-0001 00:00:00,276.3228407,275.4067484,277.2389331
593,1,8,15,15-Aug-0001 00:00:00,274.719132,272.3450798,277.0931842
624,1,9,15,15-Sep-0001 00:00:00,274.6803647,272.4439275,276.916802
654,1,10,15,15-Oct-0001 00:00:00,275.71961,274.5554898,276.8837302
685,1,11,15,15-Nov-0001 00:00:00,276.7272353,276.4378056,277.0166651
715,1,12,15,15-Dec-0001 00:00:00,277.3676815,277.6838634,277.0514996
746,2,1,15,15-Jan-0002 00:00:00,277.8308627,278.5100827,277.1516428
777,2,2,15,15-Feb-0002 00:00:00,278.2156989,279.1680392,277.2633587
805,2,3,15,15-Mar-0002 00:00:00,278.5584335,279.8113772,277.3054899
836,2,4,15,15-Apr-0002 00:00:00,278.7990058,280.3459994,277.2520121
866,2,5,15,15-May-0002 00:00:00,278.7425671,280.2496169,277.2355172
897,2,6,15,15-Jun-0002 00:00:00,278.0094884,278.734891,277.2840859
927,2,7,15,15-Jul-0002 00:00:00,276.3688124,275.45272,277.2849048
958,2,8,15,15-Aug-0002 00:00:00,274.764718,272.3906658,277.1387702
989,2,9,15,15-Sep-0002 00:00:00,274.7229048,272.4864675,276.959342
1019,2,10,15,15-Oct-0002 00:00:00,275.7571264,274.5930062,276.9212466
1050,2,11,15,15-Nov-0002 00:00:00,276.7584332,276.4690034,277.0478629
1080,2,12,15,15-Dec-0002 00:00:00,277.3919487,277.7081306,277.0757668
1111,3,1,15,15-Jan-0003 00:00:00,277.8482699,278.5274898,277.1690499
1142,3,2,15,15-Feb-0003 00:00:00,278.2269578,279.179298,277.2746175
1170,3,3,15,15-Mar-0003 00:00:00,278.5644609,279.8174046,277.3115173
1201,3,4,15,15-Apr-0003 00:00:00,278.8006629,280.3476565,277.2536692
1231,3,5,15,15-May-0003 00:00:00,278.7406555,280.2477053,277.2336057
1262,3,6,15,15-Jun-0003 00:00:00,278.0047505,278.7301531,277.2793479
1292,3,7,15,15-Jul-0003 00:00:00,276.3619309,275.4458385,277.2780233
1323,3,8,15,15-Aug-0003 00:00:00,274.7563165,272.3822643,277.1303687
1354,3,9,15,15-Sep-0003 00:00:00,274.7135472,272.4771099,276.9499844
1384,3,10,15,15-Oct-0003 00:00:00,275.7473173,274.5831971,276.9114375
1415,3,11,15,15-Nov-0003 00:00:00,276.7486178,276.4591881,277.0380476
1445,3,12,15,15-Dec-0003 00:00:00,277.3825128,277.6986947,277.0663309
1476,4,1,15,15-Jan-0004 00:00:00,277.8395399,278.5187598,277.1603199
1507,4,2,15,15-Feb-0004 00:00:00,278.2192018,279.1715421,277.2668616
1536,4,3,15,15-Mar-0004 00:00:00,278.5579014,279.810845,277.3049577
1567,4,4,15,15-Apr-0004 00:00:00,278.7954809,280.3424745,277.2484872
1597,4,5,15,15-May-0004 00:00:00,278.7369909,280.2440407,277.2299411
1628,4,6,15,15-Jun-0004 00:00:00,278.0027017,278.7281043,277.2772991
1658,4,7,15,15-Jul-0004 00:00:00,276.361555,275.4454626,277.2776474
1689,4,8,15,15-Aug-0004 00:00:00,274.7576292,272.383577,277.1316814
1720,4,9,15,15-Sep-0004 00:00:00,274.7165229,272.4800856,276.9529601
1750,4,10,15,15-Oct-0004 00:00:00,275.751889,274.5877688,276.9160092
1781,4,11,15,15-Nov-0004 00:00:00,276.7546772,276.4652475,277.044107
1811,4,12,15,15-Dec-0004 00:00:00,277.3899102,277.7060921,277.0737283
1842,5,1,15,15-Jan-0005 00:00:00,277.8480841,278.5273041,277.1688642
1873,5,2,15,15-Feb-0005 00:00:00,278.2286617,279.1810019,277.2763215
1901,5,3,15,15-Mar-0005 00:00:00,278.5680343,279.8209779,277.3150906
1932,5,4,15,15-Apr-0005 00:00:00,278.8060642,280.3530578,277.2590705
1962,5,5,15,15-May-0005 00:00:00,278.7478235,280.2548733,277.2407737
1993,5,6,15,15-Jun-0005 00:00:00,278.0136041,278.7390067,277.2882016
2023,5,7,15,15-Jul-0005 00:00:00,276.3723693,275.4562769,277.2884617
2054,5,8,15,15-Aug-0005 00:00:00,274.768219,272.3941668,277.1422712
2085,5,9,15,15-Sep-0005 00:00:00,274.7267733,272.490336,276.9632106
2115,5,10,15,15-Oct-0005 00:00:00,275.7617068,274.5975866,276.925827
2146,5,11,15,15-Nov-0005 00:00:00,276.7639906,276.4745609,277.0534204
2176,5,12,15,15-Dec-0005 00:00:00,277.398669,277.7148509,277.0824871
2207,6,1,15,15-Jan-0006 00:00:00,277.8562598,278.5354797,277.1770398
2238,6,2,15,15-Feb-0006 00:00:00,278.2362468,279.1885871,277.2839066
2266,6,3,15,15-Mar-0006 00:00:00,278.5750337,279.8279773,277.32209
2297,6,4,15,15-Apr-0006 00:00:00,278.8124828,280.3594764,277.2654891
2327,6,5,15,15-May-0006 00:00:00,278.7536656,280.2607154,277.2466158
2358,6,6,15,15-Jun-0006 00:00:00,278.0188734,278.7442759,277.2934708
2388,6,7,15,15-Jul-0006 00:00:00,276.3770687,275.4609763,277.2931611
2419,6,8,15,15-Aug-0006 00:00:00,274.7723509,272.3982987,277.1464031
2450,6,9,15,15-Sep-0006 00:00:00,274.7303395,272.4939023,276.9667768
2480,6,10,15,15-Oct-0006 00:00:00,275.7647084,274.6005883,276.9288286
2511,6,11,15,15-Nov-0006 00:00:00,276.7664281,276.4769984,277.0558579
2541,6,12,15,15-Dec-0006 00:00:00,277.4005423,277.7167242,277.0843604
2572,7,1,15,15-Jan-0007 00:00:00,277.857568,278.536788,277.1783481
2603,7,2,15,15-Feb-0007 00:00:00,278.2369887,279.1893289,277.2846485
2631,7,3,15,15-Mar-0007 00:00:00,278.5752127,279.8281563,277.322269
2662,7,4,15,15-Apr-0007 00:00:00,278.8121194,280.359113,277.2651257
2692,7,5,15,15-May-0007 00:00:00,278.7527988,280.2598487,277.245749
2723,7,6,15,15-Jun-0007 00:00:00,278.0175607,278.7429633,277.2921582
2753,7,7,15,15-Jul-0007 00:00:00,276.3753862,275.4592938,277.2914786
2784,7,8,15,15-Aug-0007 00:00:00,274.7703931,272.3963409,277.1444453
2815,7,9,15,15-Sep-0007 00:00:00,274.7282194,272.4917822,276.9646567
2845,7,10,15,15-Oct-0007 00:00:00,275.7625576,274.5984374,276.9266778
2876,7,11,15,15-Nov-0007 00:00:00,276.7643966,276.4749669,277.0538264
2906,7,12,15,15-Dec-0007 00:00:00,277.3987987,277.7149806,277.0826168
2937,8,1,15,15-Jan-0008 00:00:00,277.8562993,278.5355193,277.1770794
2968,8,2,15,15-Feb-0008 00:00:00,278.2364005,279.1887407,277.2840603
2997,8,3,15,15-Mar-0008 00:00:00,278.5755107,279.8284544,277.3225671
3028,8,4,15,15-Apr-0008 00:00:00,278.8134606,280.3604542,277.2664669
3058,8,5,15,15-May-0008 00:00:00,278.7552828,280.2623326,277.2482329
3089,8,6,15,15-Jun-0008 00:00:00,278.0212298,278.7466323,277.2958272
3119,8,7,15,15-Jul-0008 00:00:00,276.3802255,275.4641331,277.2963179
3150,8,8,15,15-Aug-0008 00:00:00,274.7763306,272.4022784,277.1503828
3181,8,9,15,15-Sep-0008 00:00:00,274.7351259,272.4986886,276.9715631
3211,8,10,15,15-Oct-0008 00:00:00,275.7702464,274.6061262,276.9343666
3242,8,11,15,15-Nov-0008 00:00:00,276.7726241,276.4831943,277.0620538
3272,8,12,15,15-Dec-0008 00:00:00,277.4072638,277.7234457,277.0910819
3303,9,1,15,15-Jan-0009 00:00:00,277.8646439,278.5438639,277.185424
3334,9,2,15,15-Feb-0009 00:00:00,278.2442091,279.1965493,277.2918689
3362,9,3,15,15-Mar-0009 00:00:00,278.5823404,279.8352841,277.3293968
3393,9,4,15,15-Apr-0009 00:00:00,278.8189436,280.3659372,277.2719499
3423,9,5,15,15-May-0009 00:00:00,278.7591491,280.2661989,277.2520993
3454,9,6,15,15-Jun-0009 00:00:00,278.0233074,278.7487099,277.2979048
3484,9,7,15,15-Jul-0009 00:00:00,276.3804401,275.4643477,277.2965325
3515,9,8,15,15-Aug-0009 00:00:00,274.7747057,272.4006535,277.1487579
3546,9,9,15,15-Sep-0009 00:00:00,274.7317829,272.4953456,276.9682201
3576,9,10,15,15-Oct-0009 00:00:00,275.7654045,274.6012843,276.9295247
3607,9,11,15,15-Nov-0009 00:00:00,276.7666003,276.4771706,277.05603
3637,9,12,15,15-Dec-0009 00:00:00,277.400473,277.7166549,277.0842911
3668,10,1,15,15-Jan-0010 00:00:00,277.8575988,278.5368187,277.1783788
3699,10,2,15,15-Feb-0010 00:00:00,278.2375201,279.1898604,277.2851799
3727,10,3,15,15-Mar-0010 00:00:00,278.5766843,279.829628,277.3237407
3758,10,4,15,15-Apr-0010 00:00:00,278.8149199,280.3619136,277.2679263
3788,10,5,15,15-May-0010 00:00:00,278.757239,280.2642888,277.2501892
