Temperature (°C),biting_rate,mosquito_develoment_rate,infection_probability,fecundity,adult_lifespan,incubation_rate,egg_to_adult_survival,transmission_probability
10,0,0,0,0,10,0,0,0
15,0.03,0.025,0.1,1,15,0.01,0.15,0
17.5,0.07,0.05,0.15,2,22,0.02,0.22,0.25
20,0.1,0.06,0.2,4,25,0.05,0.5,0.4
22.5,0.15,0.07,0.3,5,27.5,0.07,0.8,0.5
25,0.2,0.08,0.4,6,29,0.09,0.9,0.7
27.5,0.25,0.1,0.5,7,28,0.11,0.9,0.8
30,0.3,0.11,0.6,8,25,0.13,0.8,0.75
32.5,0.31,0.13,0.7,6,22.5,0.15,0.7,0.6
35,0.32,0.1,0.06,0,10,0.16,0.25,0.4
40,0,0,0,40,0,0.14,0,0
