Temperature,biting_rate,mosquito_develoment_rate,infection_probability,fecundity,adult_lifespan,incubation_rate,egg_to_adult_survival,transmission_probability
10,0,0,0,0,10,0,0,0
12.5,0.015,0.0125,0.05,0.5,12.5,0.005,0.075,0
15,0.03,0.025,0.1,1,15,0.01,0.15,0
16.25,0.05,0.0375,0.125,1.5,18.5,0.015,0.185,0.125
17.5,0.07,0.05,0.15,2,22,0.02,0.22,0.25
18.75,0.085,0.055,0.175,3,23.5,0.035,0.36,0.325
20,0.1,0.06,0.2,4,25,0.05,0.5,0.4
21.25,0.125,0.065,0.25,4.5,26.25,0.06,0.65,0.45
22.5,0.15,0.07,0.3,5,27.5,0.07,0.8,0.5
23.75,0.175,0.075,0.35,5.5,28.25,0.08,0.85,0.6
25,0.2,0.08,0.4,6,29,0.09,0.9,0.7
26.25,0.225,0.09,0.45,6.5,28.5,0.1,0.9,0.75
27.5,0.25,0.1,0.5,7,28,0.11,0.9,0.8
28.75,0.275,0.105,0.55,7.5,26.5,0.12,0.85,0.775
30,0.3,0.11,0.6,8,25,0.13,0.8,0.75
31.25,0.305,0.12,0.65,7,23.75,0.14,0.75,0.675
32.5,0.31,0.13,0.7,6,22.5,0.15,0.7,0.6
33.75,0.315,0.115,0.38,3,16.25,0.155,0.475,0.5
34.375,0.3175,0.1075,0.22,1.5,13.125,0.1575,0.3625,0.45
35,0.32,0.1,0.06,0,10,0.16,0.25,0.4
37.5,0.16,0.05,0.03,0,5,0.15,0.125,0.2
38.75,0.08,0.025,0.015,0,2.5,0.145,0.0625,0.1
40,0,0,0,0,0,0.14,0,0
