date,PCP,TAVG
1900-01-01 00:00:00,1.74,34.11
1900-02-01 00:00:00,2.52,30.76
1900-03-01 00:00:00,2.28,41.27
1900-04-01 00:00:00,3.41,51.6
1900-05-01 00:00:00,2.45,61.74
1900-06-01 00:00:00,3.03,70.3
1900-07-01 00:00:00,3.07,73.13
1900-08-01 00:00:00,2.42,72.86
1900-09-01 00:00:00,2.93,65.14
1900-10-01 00:00:00,2.75,56.35
1900-11-01 00:00:00,2.37,41.54
1900-12-01 00:00:00,1.66,34.48
1901-01-01 00:00:00,1.99,31.62
1901-02-01 00:00:00,2.13,29.86
1901-03-01 00:00:00,2.29,40.71
1901-04-01 00:00:00,2.53,49.39
1901-05-01 00:00:00,2.66,61.18
1901-06-01 00:00:00,2.6,68.43
1901-07-01 00:00:00,2.32,76.24
1901-08-01 00:00:00,2.97,73.2
1901-09-01 00:00:00,2.58,63.25
1901-10-01 00:00:00,1.51,55.45
1901-11-01 00:00:00,1.45,41.68
1901-12-01 00:00:00,2.6,31.48
1902-01-01 00:00:00,1.45,30.06
1902-02-01 00:00:00,2.56,31.46
1902-03-01 00:00:00,2.9,41.58
1902-04-01 00:00:00,1.85,50.85
1902-05-01 00:00:00,3.0,61.99
1902-06-01 00:00:00,2.89,68.04
1902-07-01 00:00:00,3.09,72.05
1902-08-01 00:00:00,2.3,71.37
1902-09-01 00:00:00,2.74,62.76
1902-10-01 00:00:00,1.93,54.43
1902-11-01 00:00:00,2.99,43.68
1902-12-01 00:00:00,2.93,30.79
1903-01-01 00:00:00,2.27,30.88
1903-02-01 00:00:00,3.03,28.42
1903-03-01 00:00:00,3.01,42.21
1903-04-01 00:00:00,1.99,50.22
1903-05-01 00:00:00,3.01,59.54
1903-06-01 00:00:00,2.88,65.89
1903-07-01 00:00:00,2.97,71.92
1903-08-01 00:00:00,3.04,70.97
1903-09-01 00:00:00,2.12,62.73
1903-10-01 00:00:00,1.77,53.94
1903-11-01 00:00:00,1.83,40.23
1903-12-01 00:00:00,1.44,30.54
1904-01-01 00:00:00,1.81,27.55
1904-02-01 00:00:00,2.43,31.59
1904-03-01 00:00:00,3.1,41.76
1904-04-01 00:00:00,2.12,49.46
1904-05-01 00:00:00,2.59,60.13
1904-06-01 00:00:00,3.11,67.26
1904-07-01 00:00:00,2.93,71.35
1904-08-01 00:00:00,2.69,70.72
1904-09-01 00:00:00,2.33,64.96
1904-10-01 00:00:00,1.66,53.92
1904-11-01 00:00:00,1.02,43.14
1904-12-01 00:00:00,2.16,32.02
1905-01-01 00:00:00,2.18,27.1
1905-02-01 00:00:00,2.35,26.94
1905-03-01 00:00:00,2.94,45.12
1905-04-01 00:00:00,2.8,50.49
1905-05-01 00:00:00,3.74,59.14
1905-06-01 00:00:00,3.3,68.0
1905-07-01 00:00:00,3.52,71.98
1905-08-01 00:00:00,2.54,72.37
1905-09-01 00:00:00,2.57,65.95
1905-10-01 00:00:00,2.17,51.64
1905-11-01 00:00:00,2.19,42.24
1905-12-01 00:00:00,2.3,30.99
1906-01-01 00:00:00,2.53,32.88
1906-02-01 00:00:00,1.72,33.69
1906-03-01 00:00:00,3.26,36.1
1906-04-01 00:00:00,2.08,52.72
1906-05-01 00:00:00,3.16,59.58
1906-06-01 00:00:00,3.04,67.32
1906-07-01 00:00:00,3.3,72.36
1906-08-01 00:00:00,3.39,71.85
1906-09-01 00:00:00,2.91,66.25
1906-10-01 00:00:00,2.08,52.54
1906-11-01 00:00:00,2.49,40.44
1906-12-01 00:00:00,2.88,34.97
1907-01-01 00:00:00,2.75,30.69
1907-02-01 00:00:00,1.82,35.46
1907-03-01 00:00:00,2.45,45.7
1907-04-01 00:00:00,2.32,47.53
1907-05-01 00:00:00,3.45,55.89
1907-06-01 00:00:00,3.12,65.7
1907-07-01 00:00:00,3.0,72.52
1907-08-01 00:00:00,2.55,70.79
1907-09-01 00:00:00,2.51,64.22
1907-10-01 00:00:00,2.03,53.78
1907-11-01 00:00:00,2.25,40.82
1907-12-01 00:00:00,2.69,34.7
1908-01-01 00:00:00,1.82,32.45
1908-02-01 00:00:00,2.81,33.01
1908-03-01 00:00:00,2.18,43.92
1908-04-01 00:00:00,2.69,52.75
1908-05-01 00:00:00,4.13,58.82
1908-06-01 00:00:00,3.02,66.92
1908-07-01 00:00:00,3.01,73.18
1908-08-01 00:00:00,2.88,70.68
1908-09-01 00:00:00,1.83,65.59
1908-10-01 00:00:00,2.03,51.76
