Source1,Source2,Date,Mean,YearMonth,PCP,TAVG,
GISTEMP data for 2017 is N/A it was replaced with 2016's mean temperature,"NOAA, US data Camp Mabry, Texas",2019-01,1.17,201901,2.49,32.67,
GISTEMP data for 2017 is N/A it was replaced with 2016's mean temperature,"NOAA, US data Camp Mabry, Texas",2018-12,0.81,201812,3.23,35.58,
GISTEMP data for 2017 is N/A it was replaced with 2016's mean temperature,"NOAA, US data Camp Mabry, Texas",2018-11,0.93,201811,2.71,40.06,
GISTEMP data for 2017 is N/A it was replaced with 2016's mean temperature,"NOAA, US data Camp Mabry, Texas",2018-10,0.89,201810,3.42,53.73,
GISTEMP data for 2017 is N/A it was replaced with 2016's mean temperature,"NOAA, US data Camp Mabry, Texas",2018-09,0.87,201809,3.57,67.55,
GISTEMP data for 2017 is N/A it was replaced with 2016's mean temperature,"NOAA, US data Camp Mabry, Texas",2018-08,0.98,201808,2.99,73.51,
GISTEMP data for 2017 is N/A it was replaced with 2016's mean temperature,"NOAA, US data Camp Mabry, Texas",2018-07,0.83,201807,2.86,75.45,
GISTEMP data for 2017 is N/A it was replaced with 2016's mean temperature,"NOAA, US data Camp Mabry, Texas",2018-06,0.76,201806,3.15,71.55,
GISTEMP data for 2017 is N/A it was replaced with 2016's mean temperature,"NOAA, US data Camp Mabry, Texas",2018-05,0.93,201805,3.02,65.52,
GISTEMP data for 2017 is N/A it was replaced with 2016's mean temperature,"NOAA, US data Camp Mabry, Texas",2018-04,1.09,201804,2.47,49.01,
GISTEMP data for 2017 is N/A it was replaced with 2016's mean temperature,"NOAA, US data Camp Mabry, Texas",2018-03,1.3,201803,2.48,42.73,
GISTEMP data for 2017 is N/A it was replaced with 2016's mean temperature,"NOAA, US data Camp Mabry, Texas",2018-02,1.35,201802,2.88,35.51,
GISTEMP data for 2017 is N/A it was replaced with 2016's mean temperature,"NOAA, US data Camp Mabry, Texas",2018-01,1.17,201801,1.85,32.16,
GISTEMP data for 2017 is N/A it was replaced with 2016's mean temperature,"NOAA, US data Camp Mabry, Texas",2017-12,0.81,201712,1.59,34.29,
GISTEMP data for 2017 is N/A it was replaced with 2016's mean temperature,"NOAA, US data Camp Mabry, Texas",2017-11,0.93,201711,1.62,45.03,
GISTEMP data for 2017 is N/A it was replaced with 2016's mean temperature,"NOAA, US data Camp Mabry, Texas",2017-10,0.89,201710,2.6,55.69,
GISTEMP data for 2017 is N/A it was replaced with 2016's mean temperature,"NOAA, US data Camp Mabry, Texas",2017-09,0.87,201709,2.27,66.27,
GISTEMP data for 2017 is N/A it was replaced with 2016's mean temperature,"NOAA, US data Camp Mabry, Texas",2017-08,0.98,201708,3.42,72.01,
GISTEMP data for 2017 is N/A it was replaced with 2016's mean temperature,"NOAA, US data Camp Mabry, Texas",2017-07,0.83,201707,2.8,75.7,
GISTEMP data for 2017 is N/A it was replaced with 2016's mean temperature,"NOAA, US data Camp Mabry, Texas",2017-06,0.76,201706,3.07,70.36,
GISTEMP data for 2017 is N/A it was replaced with 2016's mean temperature,"NOAA, US data Camp Mabry, Texas",2017-05,0.93,201705,3.36,60.57,
GISTEMP data for 2017 is N/A it was replaced with 2016's mean temperature,"NOAA, US data Camp Mabry, Texas",2017-04,1.09,201704,3.5,53.8,
GISTEMP data for 2017 is N/A it was replaced with 2016's mean temperature,"NOAA, US data Camp Mabry, Texas",2017-03,1.3,201703,2.59,46.15,
GISTEMP data for 2017 is N/A it was replaced with 2016's mean temperature,"NOAA, US data Camp Mabry, Texas",2017-02,1.35,201702,2.25,41.18,
GISTEMP data for 2017 is N/A it was replaced with 2016's mean temperature,"NOAA, US data Camp Mabry, Texas",2017-01,1.17,201701,3.24,33.57,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2016-12,0.81,201612,2.72,32.95,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2016-11,0.93,201611,1.75,47.97,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2016-10,0.89,201610,2.39,57.72,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2016-09,0.87,201609,2.73,67.12,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2016-08,0.98,201608,3.47,73.53,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2016-07,0.83,201607,2.92,75.22,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2016-06,0.76,201606,2.48,71.76,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2016-05,0.93,201605,3.07,60.33,
GISTEMP,"NOAA, US data Camp Mabry, Texas",2016-04,1.09,201604,3,53.19,
