,Year,Country,value
0,2000,ARG,11.873455303942647
1,2001,ARG,5.737692602665135
2,2002,ARG,3.29907834308145
3,2003,ARG,3.2368052742384577
4,2004,ARG,2.9951950873843005
5,2005,ARG,6.43752352761575
6,2006,ARG,5.359098801811679
7,2007,ARG,8.881611471579443
8,2008,ARG,2.6249066146136126
9,2009,ARG,3.333381781749916
10,2010,ARG,1.7465601074173278
11,2011,ARG,0.8642030047426261
12,2012,ARG,0.19003847305132113
13,2013,ARG,0.18805862962851955
14,2014,ARG,0.1861265243907759
15,2015,ARG,0.04606409381044833
16,2016,ARG,0.04561270751786364
17,2000,BLZ,6008.53162970301
18,2001,BLZ,4557.148683838986
19,2002,BLZ,4324.843825084094
20,2003,BLZ,4027.7932597629397
21,2004,BLZ,3861.0737841782907
22,2005,BLZ,5468.146019620372
23,2006,BLZ,2902.8674414525344
24,2007,BLZ,2831.703009647897
25,2008,BLZ,1763.7548380775074
26,2009,BLZ,1630.9420282930216
27,2010,BLZ,932.812616601577
28,2011,BLZ,479.96306107074287
29,2012,BLZ,219.77956703425295
30,2013,BLZ,151.08329628887128
31,2014,BLZ,108.0484739574744
32,2015,BLZ,72.3653447930351
33,2016,BLZ,27.251372106585567
34,2000,BOL,3773.4821893655167
35,2001,BOL,1855.4971973341574
36,2002,BOL,1649.7666509309406
37,2003,BOL,2308.9705144590157
38,2004,BOL,1662.626072719986
39,2005,BOL,2349.7029009877806
40,2006,BOL,2124.7754308958397
41,2007,BOL,1547.4327867643974
42,2008,BOL,1015.4320039208926
43,2009,BOL,1996.7725368049264
44,2010,BOL,2776.500109596035
45,2011,BOL,1417.4949195517559
46,2012,BOL,1448.3830653840942
47,2013,BOL,1514.7692404731265
48,2014,BOL,1401.4180244777608
49,2015,BOL,1288.0540770119085
50,2016,BOL,1020.0330973462056
51,2000,BRA,3498.4850353379557
52,2001,BRA,2184.537476005013
53,2002,BRA,1933.1502983821558
54,2003,BRA,2240.690403092524
55,2004,BRA,2517.0936524759777
56,2005,BRA,3242.432895251501
57,2006,BRA,2907.0524744163363
58,2007,BRA,2400.984528665497
59,2008,BRA,1636.167420036091
60,2009,BRA,1587.082373924193
61,2010,BRA,3401.1569599421623
62,2011,BRA,2689.1182563775988
63,2012,BRA,2420.789890125339
64,2013,BRA,1760.3646468990512
65,2014,BRA,1404.5619681080943
66,2015,BRA,1389.629397267579
67,2016,BRA,1244.8708569467606
68,2000,COL,3574.6992905992033
69,2001,COL,5641.355323704762
70,2002,COL,4929.1248869354495
71,2003,COL,4292.924458350892
72,2004,COL,3329.2869891915725
73,2005,COL,2809.9161028806925
74,2006,COL,2739.683402499906
75,2007,COL,2894.94623181943
76,2008,COL,1794.1253868686565
77,2009,COL,3494.217182197684
78,2010,COL,5124.341280955088
79,2011,COL,2774.279356452522
80,2012,COL,2567.2827060155423
81,2013,COL,2184.4420823437376
82,2014,COL,1706.0627686555576
83,2015,COL,2228.134009094212
84,2016,COL,3008.97661477809
85,2000,CRI,478.672088729858
86,2001,CRI,341.02298890261653
87,2002,CRI,251.27953211308122
88,2003,CRI,174.01964289133394
89,2004,CRI,307.8548606437296
90,2005,CRI,833.5999393574289
91,2006,CRI,673.7384056884595
92,2007,CRI,279.8967105613977
93,2008,CRI,218.08291123980362
94,2009,CRI,116.74895165457104
95,2010,CRI,50.161926217966766
96,2011,CRI,7.390542800589678
97,2012,CRI,3.437812760387459
98,2013,CRI,2.5497189890959144
99,2014,CRI,2.522293395269649
100,2015,CRI,3.3278894608236693
101,2016,CRI,5.352796650961013
102,2000,DOM,143.9979482920068
103,2001,DOM,119.34977140724419
104,2002,DOM,146.73439545938564
105,2003,DOM,170.49965654745444
106,2004,DOM,258.7059779646222
107,2005,DOM,415.36915676705314
108,2006,DOM,376.14692800537125
109,2007,DOM,285.2377221258512
110,2008,DOM,381.88059589976467
111,2009,DOM,336.41292095893454
112,2010,DOM,595.6767968429938
113,2011,DOM,322.3266559257691
114,2012,DOM,187.49476856114507
115,2013,DOM,112.63171491220562
116,2014,DOM,95.33104666954453
117,2015,DOM,125.5652096606567
118,2016,DOM,141.80013486977066
119,2000,ECU,8277.087967656897
120,2001,ECU,8473.125022611885
121,2002,ECU,6636.8269423487955
122,2003,ECU,3917.7248436578348
123,2004,ECU,2126.628475192579
124,2005,ECU,1241.3331466601257
125,2006,ECU,706.140262953661
126,2007,ECU,576.8207462303384
127,2008,ECU,338.53462611892576
128,2009,ECU,280.8469652906232
129,2010,ECU,252.834173323986
130,2011,ECU,162.34712833692038
131,2012,ECU,72.37510851402358
132,2013,ECU,48.27109352607376
133,2014,ECU,30.434294872601033
134,2015,ECU,84.98319661692548
135,2016,ECU,173.8167946571842
136,2000,SLV,128.33128764512256
137,2001,SLV,61.29399410290821
138,2002,SLV,19.69596500380536
139,2003,SLV,14.234196065165825
140,2004,SLV,18.66425586695052
141,2005,SLV,11.113025942612666
142,2006,SLV,8.09051068954597
143,2007,SLV,6.575189344905667
144,2008,SLV,5.40071593854378
145,2009,SLV,6.517549479606261
146,2010,SLV,7.786360437762161
147,2011,SLV,5.006007208650381
148,2012,SLV,6.751059192965525
149,2013,SLV,2.2397215578159324
150,2014,SLV,2.547288419437785
151,2015,SLV,2.851495086398717
152,2016,SLV,4.413116918282629
153,2000,GTM,4575.759674726325
154,2001,GTM,3004.122618249173
155,2002,GTM,2911.003560696308
156,2003,GTM,2490.064779922816
157,2004,GTM,2262.652942015367
158,2005,GTM,3021.603191440947
159,2006,GTM,2320.8913512629088
160,2007,GTM,1122.7502841911476
161,2008,GTM,513.9091752992889
162,2009,GTM,989.0887307588713
163,2010,GTM,996.6906616537314
164,2011,GTM,912.3736639418543
165,2012,GTM,700.1480447717564
166,2013,GTM,796.8600584731654
167,2014,GTM,666.6851298758022
168,2015,GTM,761.6092339182038
169,2016,GTM,585.4375485339367
170,2000,GUY,31883.66934333022
171,2001,GUY,36053.88009246766
172,2002,GUY,29120.183432550766
173,2003,GUY,36745.019332133634
174,2004,GUY,38403.410088711265
175,2005,GUY,51913.18683367379
176,2006,GUY,28100.282683721074
177,2007,GUY,15585.617267195192
